TOR | Brandon Kozun | Tripping | HOME | MTL | 2014-10-08 | Paul Devorski | Tom Kowal  
MTL | Alexei Emelin | Interference | AWAY | TOR | 2014-10-08 | Paul Devorski | Tom Kowal  
TOR | Daniel Winnik | Closing hand on puck | HOME | MTL | 2014-10-08 | Paul Devorski | Tom Kowal  
MTL | Tom Gilbert | Hi stick - double minor | AWAY | TOR | 2014-10-08 | Paul Devorski | Tom Kowal  
PHI | Zac Rinaldo | Roughing | HOME | BOS | 2014-10-08 | Rob Martell | Eric Furlatt  
BOS | Dennis Seidenberg | Slashing | AWAY | PHI | 2014-10-08 | Rob Martell | Eric Furlatt  
BOS | Bobby Robins | Fighting (maj) | AWAY | PHI | 2014-10-08 | Rob Martell | Eric Furlatt  
PHI | Luke Schenn | Fighting (maj) | HOME | BOS | 2014-10-08 | Rob Martell | Eric Furlatt  
BOS | Bobby Robins | Charging | AWAY | PHI | 2014-10-08 | Rob Martell | Eric Furlatt  
PHI | Luke Schenn | Roughing | HOME | BOS | 2014-10-08 | Rob Martell | Eric Furlatt  
BOS | Loui Eriksson | Tripping | AWAY | PHI | 2014-10-08 | Rob Martell | Eric Furlatt  
BOS | Patrice Bergeron | Holding | AWAY | PHI | 2014-10-08 | Rob Martell | Eric Furlatt  
PHI | Zac Rinaldo | Slashing | HOME | BOS | 2014-10-08 | Rob Martell | Eric Furlatt  
BOS | Brad Marchand | Elbowing | AWAY | PHI | 2014-10-08 | Rob Martell | Eric Furlatt  
VAN | Kevin Bieksa | Interference | HOME | CGY | 2014-10-08 | Tim Peel | Ghislain Hebert  
VAN | Chris Higgins | Delaying Game-Puck over glass | HOME | CGY | 2014-10-08 | Tim Peel | Ghislain Hebert  
CGY | Paul Byron | Hooking | AWAY | VAN | 2014-10-08 | Tim Peel | Ghislain Hebert  
CGY | Mason Raymond | Tripping | AWAY | VAN | 2014-10-08 | Tim Peel | Ghislain Hebert  
VAN | Zack Kassian | Interference | HOME | CGY | 2014-10-08 | Tim Peel | Ghislain Hebert  
VAN | Brad Richardson | Hi-sticking | HOME | CGY | 2014-10-08 | Tim Peel | Ghislain Hebert  
CGY | Curtis Glencross | Hi-sticking | AWAY | VAN | 2014-10-08 | Tim Peel | Ghislain Hebert  
VAN | Kevin Bieksa | Roughing | HOME | CGY | 2014-10-08 | Tim Peel | Ghislain Hebert  
CGY | Deryk Engelland | Roughing | AWAY | VAN | 2014-10-08 | Tim Peel | Ghislain Hebert  
CGY | Mikael Backlund | Roughing | AWAY | VAN | 2014-10-08 | Tim Peel | Ghislain Hebert  
VAN | Alexandre Burrows | Roughing | HOME | CGY | 2014-10-08 | Tim Peel | Ghislain Hebert  
SJS | Patrick Marleau | Interference | HOME | LAK | 2014-10-08 | Dan O'Rourke | Dan O'Halloran  
LAK | Kyle Clifford | Fighting (maj) | AWAY | SJS | 2014-10-08 | Dan O'Rourke | Dan O'Halloran  
SJS | Mike Brown | Fighting (maj) | HOME | LAK | 2014-10-08 | Dan O'Rourke | Dan O'Halloran  
LAK | Jarret Stoll | Slashing | AWAY | SJS | 2014-10-08 | Dan O'Rourke | Dan O'Halloran  
LAK | Drew Doughty | Boarding | AWAY | SJS | 2014-10-08 | Dan O'Rourke | Dan O'Halloran  
LAK | Kyle Clifford | Tripping | AWAY | SJS | 2014-10-08 | Dan O'Rourke | Dan O'Halloran  
LAK | Mike Richards | Boarding | AWAY | SJS | 2014-10-08 | Dan O'Rourke | Dan O'Halloran  
SJS | Logan Couture | Holding | HOME | LAK | 2014-10-08 | Dan O'Rourke | Dan O'Halloran  
SJS | Matt Nieto | Hooking | HOME | LAK | 2014-10-08 | Dan O'Rourke | Dan O'Halloran  
SJS | Justin Braun | Tripping | HOME | LAK | 2014-10-08 | Dan O'Rourke | Dan O'Halloran  
SJS | Mike Brown | Boarding | HOME | LAK | 2014-10-08 | Dan O'Rourke | Dan O'Halloran  
BUF | Josh Gorges | Interference | AWAY | CBJ | 2014-10-09 | Francis Charron | Tom Kowal  
BUF | Mike Weber | Roughing | AWAY | CBJ | 2014-10-09 | Francis Charron | Tom Kowal  
CBJ | Jared Boll | Roughing | HOME | BUF | 2014-10-09 | Francis Charron | Tom Kowal  
BUF | Tyler Myers | Tripping | AWAY | CBJ | 2014-10-09 | Francis Charron | Tom Kowal  
BUF | Rasmus Ristolainen | Holding | AWAY | CBJ | 2014-10-09 | Francis Charron | Tom Kowal  
CBJ | Fedor Tyutin | Hooking | HOME | BUF | 2014-10-09 | Francis Charron | Tom Kowal  
BUF | Brian Gionta | Hooking | AWAY | CBJ | 2014-10-09 | Francis Charron | Tom Kowal  
MIN | Ryan Carter | Hooking | HOME | COL | 2014-10-09 | Frederick L'Ecuyer | Greg Kimmerly  
MIN | Marco Scandella | Interference | HOME | COL | 2014-10-09 | Frederick L'Ecuyer | Greg Kimmerly  
COL | Brad Stuart | Holding | AWAY | MIN | 2014-10-09 | Frederick L'Ecuyer | Greg Kimmerly  
COL | Erik Johnson | Roughing | AWAY | MIN | 2014-10-09 | Frederick L'Ecuyer | Greg Kimmerly  
MIN | Ryan Carter | Roughing | HOME | COL | 2014-10-09 | Frederick L'Ecuyer | Greg Kimmerly  
MIN | Matt Dumba | Holding | HOME | COL | 2014-10-09 | Frederick L'Ecuyer | Greg Kimmerly  
COL | Erik Johnson | Cross checking | AWAY | MIN | 2014-10-09 | Frederick L'Ecuyer | Greg Kimmerly  
COL | Gabriel Landeskog | Boarding | AWAY | MIN | 2014-10-09 | Frederick L'Ecuyer | Greg Kimmerly  
MIN | Jason Zucker | Roughing | HOME | COL | 2014-10-09 | Frederick L'Ecuyer | Greg Kimmerly  
MIN | Ryan Carter | Roughing | HOME | COL | 2014-10-09 | Frederick L'Ecuyer | Greg Kimmerly  
CGY | Joe Colborne | Hooking | AWAY | EDM | 2014-10-09 | Tim Peel | Ghislain Hebert  
EDM | Jordan Eberle | Tripping | HOME | CGY | 2014-10-09 | Tim Peel | Ghislain Hebert  
CGY | TJ Brodie | Hooking | AWAY | EDM | 2014-10-09 | Tim Peel | Ghislain Hebert  
CGY | Matt Stajan | Tripping | AWAY | EDM | 2014-10-09 | Tim Peel | Ghislain Hebert  
EDM | Benoit Pouliot | Slashing | HOME | CGY | 2014-10-09 | Tim Peel | Ghislain Hebert  
ARI | Michael Stone | Delay of game | AWAY | WPG | 2014-10-09 | Dan O'Rourke | Dan O'Halloran  
ARI | Oliver Ekman-Larsson | Roughing | AWAY | WPG | 2014-10-09 | Dan O'Rourke | Dan O'Halloran  
WPG | Andrew Ladd | Roughing | HOME | ARI | 2014-10-09 | Dan O'Rourke | Dan O'Halloran  
WPG | Adam Pardy | Holding | HOME | ARI | 2014-10-09 | Dan O'Rourke | Dan O'Halloran  
ARI | B.J. Crombeen | Roughing | AWAY | WPG | 2014-10-09 | Dan O'Rourke | Dan O'Halloran  
ARI | Martin Erat | Delay of game | AWAY | WPG | 2014-10-09 | Dan O'Rourke | Dan O'Halloran  
WPG | Jim Slater | Embellishment | HOME | ARI | 2014-10-09 | Dan O'Rourke | Dan O'Halloran  
ARI | Antoine Vermette | Holding | AWAY | WPG | 2014-10-09 | Dan O'Rourke | Dan O'Halloran  
WPG | Blake Wheeler | Fighting (maj) | HOME | ARI | 2014-10-09 | Dan O'Rourke | Dan O'Halloran  
ARI | Shane Doan | Fighting (maj) | AWAY | WPG | 2014-10-09 | Dan O'Rourke | Dan O'Halloran  
ARI | Sam Gagner | Hooking | AWAY | WPG | 2014-10-09 | Dan O'Rourke | Dan O'Halloran  
ARI | Oliver Ekman-Larsson | Interference | AWAY | WPG | 2014-10-09 | Dan O'Rourke | Dan O'Halloran  
WPG | Adam Lowry | Interference | HOME | ARI | 2014-10-09 | Dan O'Rourke | Dan O'Halloran  
WPG | Toby Enstrom | Hooking | HOME | ARI | 2014-10-09 | Dan O'Rourke | Dan O'Halloran  
ARI | Zbynek Michalek | Interference | AWAY | WPG | 2014-10-09 | Dan O'Rourke | Dan O'Halloran  
WPG | Andrew Ladd | Hooking | HOME | ARI | 2014-10-09 | Dan O'Rourke | Dan O'Halloran  
PHI | Pierre-Edouard Bellemare | Boarding | HOME | NJD | 2014-10-09 | Jean Hebert | Steve Kozari  
NJD | Adam Henrique | Hooking | AWAY | PHI | 2014-10-09 | Jean Hebert | Steve Kozari  
NJD | Jordin Tootoo | Slashing | AWAY | PHI | 2014-10-09 | Jean Hebert | Steve Kozari  
NJD | Patrik Elias | Hooking | AWAY | PHI | 2014-10-09 | Jean Hebert | Steve Kozari  
NJD | Ryane Clowe | Tripping | AWAY | PHI | 2014-10-09 | Jean Hebert | Steve Kozari  
PHI | Nicklas Grossmann | Holding | HOME | NJD | 2014-10-09 | Jean Hebert | Steve Kozari  
NJD | Jaromir Jagr | Hooking | AWAY | PHI | 2014-10-09 | Jean Hebert | Steve Kozari  
PHI | Nicklas Grossmann | Holding | HOME | NJD | 2014-10-09 | Jean Hebert | Steve Kozari  
ANA | Ryan Getzlaf | Tripping | AWAY | PIT | 2014-10-09 | Gord Dwyer | Marc Joannette  
PIT | Chris Kunitz | Cross checking | HOME | ANA | 2014-10-09 | Gord Dwyer | Marc Joannette  
ANA | Clayton Stoner | Interference | AWAY | PIT | 2014-10-09 | Gord Dwyer | Marc Joannette  
PIT | Steve Downie | Too many men/ice - bench | HOME | ANA | 2014-10-09 | Gord Dwyer | Marc Joannette  
PIT | Nick Spaling | Hooking | HOME | ANA | 2014-10-09 | Gord Dwyer | Marc Joannette  
ANA | Matt Beleskey | Hi-sticking | AWAY | PIT | 2014-10-09 | Gord Dwyer | Marc Joannette  
PIT | Evgeni Malkin | Hooking | HOME | ANA | 2014-10-09 | Gord Dwyer | Marc Joannette  
PIT | Blake Comeau | Interference | HOME | ANA | 2014-10-09 | Gord Dwyer | Marc Joannette  
ANA | Clayton Stoner | Fighting (maj) | AWAY | PIT | 2014-10-09 | Gord Dwyer | Marc Joannette  
PIT | Zach Sill | Fighting (maj) | HOME | ANA | 2014-10-09 | Gord Dwyer | Marc Joannette  
PIT | Evgeni Malkin | Hooking | HOME | ANA | 2014-10-09 | Gord Dwyer | Marc Joannette  
ANA | Emerson Etem | Interference on goalkeeper | AWAY | PIT | 2014-10-09 | Gord Dwyer | Marc Joannette  
MTL | Lars Eller | Tripping | AWAY | WSH | 2014-10-09 | Rob Martell | Chris Lee  
MTL | Max Pacioretty | Tripping | AWAY | WSH | 2014-10-09 | Rob Martell | Chris Lee  
MTL | P.K. Subban | Hooking | AWAY | WSH | 2014-10-09 | Rob Martell | Chris Lee  
WSH | Eric Fehr | Roughing | HOME | MTL | 2014-10-09 | Rob Martell | Chris Lee  
WSH | Liam O'Brien | Fighting (maj) | HOME | MTL | 2014-10-09 | Rob Martell | Chris Lee  
MTL | Brandon Prust | Fighting (maj) | AWAY | WSH | 2014-10-09 | Rob Martell | Chris Lee  
WSH | Liam O'Brien | Charging | HOME | MTL | 2014-10-09 | Rob Martell | Chris Lee  
MTL | Pierre-Alexandre Parenteau | Slashing | AWAY | WSH | 2014-10-09 | Rob Martell | Chris Lee  
WSH | Alex Ovechkin | Slashing | HOME | MTL | 2014-10-09 | Rob Martell | Chris Lee  
MTL | Brandon Prust | Roughing | AWAY | WSH | 2014-10-09 | Rob Martell | Chris Lee  
MTL | Travis Moen | Roughing | AWAY | WSH | 2014-10-09 | Rob Martell | Chris Lee  
WSH | Brooks Orpik | Roughing | HOME | MTL | 2014-10-09 | Rob Martell | Chris Lee  
WSH | Alex Ovechkin | Holding | HOME | MTL | 2014-10-09 | Rob Martell | Chris Lee  
MTL | Lars Eller | Roughing | AWAY | WSH | 2014-10-09 | Rob Martell | Chris Lee  
WSH | John Carlson | Roughing | HOME | MTL | 2014-10-09 | Rob Martell | Chris Lee  
WSH | Nicklas Backstrom | Boarding | HOME | MTL | 2014-10-09 | Rob Martell | Chris Lee  
BOS | Dennis Seidenberg | Interference | AWAY | DET | 2014-10-09 | Dennis LaRue | Brad Meier  
BOS | Daniel Paille | Interference on goalkeeper | AWAY | DET | 2014-10-09 | Dennis LaRue | Brad Meier  
DET | Henrik Zetterberg | Interference | HOME | BOS | 2014-10-09 | Dennis LaRue | Brad Meier  
BOS | Brad Marchand | Embellishment | AWAY | DET | 2014-10-09 | Dennis LaRue | Brad Meier  
DET | Tomas Tatar | Tripping | HOME | BOS | 2014-10-09 | Dennis LaRue | Brad Meier  
DET | Jakub Kindl | Interference | HOME | BOS | 2014-10-09 | Dennis LaRue | Brad Meier  
BOS | Patrice Bergeron | Slashing | AWAY | DET | 2014-10-09 | Dennis LaRue | Brad Meier  
DET | Brendan Smith | Slashing | HOME | BOS | 2014-10-09 | Dennis LaRue | Brad Meier  
DET | Johan Franzen | Elbowing | HOME | BOS | 2014-10-09 | Dennis LaRue | Brad Meier  
BOS | Zdeno Chara | Interference | AWAY | DET | 2014-10-09 | Dennis LaRue | Brad Meier  
FLA | Dave Bolland | Cross checking | AWAY | TBL | 2014-10-09 | Brian Pochmara | Kevin Pollock  
